Name	UP	ENT	XT	ET	BT	TIM8	RESET	TICK	C1	countx	TRIG	INTER	LEVEL	SPREAD	FIRE	
S1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0	1	EDIT	NEITHER	INPLACE	WAIT	
C2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S2	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0	4	EDIT	NEITHER	INPLACE	WAIT	
C3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S3	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0	3	EBDATAE	EB	MOVOUT	WAIT	
C4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0	8	EBDATAE	E2X	MOVIN	WAIT	
C5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	1	5	EBDATAE	XB	MOVIN	WAIT	
C6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	2	1	EBDATAE	XB	MOVIN	FIRED	
C7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	3	7	EDIT	XB	MOVIN	FIRED	
C8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S8	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	4	4	EDIT	NEITHER	MOVIN	FIRED	
C9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	0	7	EBDATAE	EB	MOVOUT	FIRED	
C10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S10	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	3	EBDATAE	NEITHER	MOVOUT	FIRED	
C11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S11	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	0	2	EBDATAE	XB	MOVIN	FIRED	
C12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S12	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	1	EBDATAD	XB	MOVIN	FIRED	
C13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
I13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
S13	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	2	1	EBDATAE	XB	MOVIN	FIRED	
