Name	postion	obstacle	passengerButtonUp	passengerButtonDown	driverUp	driverDown	continuouspressUp	continuouspressDown	passengerContinousUp	passengerContinousDown	counter	
S1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	
C2	-	-	-	-	-	-	-	-	-	-	-	
I2	-	-	-	-	-	-	-	-	-	-	-	
S2	2	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0	
C3	-	-	-	-	-	-	-	-	-	-	-	
I3	-	-	-	-	-	-	-	-	-	-	-	
S3	4	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0	
C4	-	-	-	-	-	-	-	-	-	-	-	
I4	-	-	-	-	-	-	-	-	-	-	-	
S4	6	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0	
C5	-	-	-	-	-	-	-	-	-	-	-	
I5	-	-	-	-	-	-	-	-	-	-	-	
S5	8	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0	
C6	-	-	-	-	-	-	-	-	-	-	-	
I6	-	-	-	-	-	-	-	-	-	-	-	
S6	10	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0	
C7	-	-	-	-	-	-	-	-	-	-	-	
I7	-	-	-	-	-	-	-	-	-	-	-	
S7	8	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0	
